b,a,d,p_r,prixreel
889000000,17696,1.0,40.75,29.8
560000000,17936,1.05,29.8,35.95
-202000000,18007,0.5,35.95,26.19
-107600000,1902,0.5,26.19,24.4
511000000,21075,0.78,24.4,26.25
536000000,213324,0.88,26.25,46.8
573000000,214948,0.9,46.8,45
762000000,199907,1.19,45,69.1
813000000,215602,1.13,69.1,92.13
1015000000,22689,1.41,92.13,89.88
